cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
05,Coahuila de Zaragoza,05002,Acuña,0500200011468,1468,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011557,1557,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011561,1561,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011580,1580,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011595,1595,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011608,1608,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011612,1612,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011627,1627,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011631,1631,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011646,1646,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011650,1650,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011665,1665,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001167A,167A,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011684,1684,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011699,1699,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011701,1701,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011716,1716,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011720,1720,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011735,1735,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001174A,174A,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011754,1754,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011769,1769,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011773,1773,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011788,1788,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011792,1792,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011805,1805,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001181A,181A,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011824,1824,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011839,1839,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011843,1843,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011858,1858,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011877,1877,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011881,1881,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011896,1896,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200011909,1909,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012678,2678,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012682,2682,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012697,2697,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001270A,270A,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012729,2729,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012733,2733,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012748,2748,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012752,2752,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012771,2771,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012790,2790,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012822,2822,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012875,2875,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001288A,288A,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012894,2894,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012907,2907,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012911,2911,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012926,2926,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012930,2930,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012945,2945,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001295A,295A,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012964,2964,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012979,2979,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012983,2983,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200012998,2998,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013040,3040,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013055,3055,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001306A,306A,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013074,3074,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013089,3089,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013125,3125,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001313A,313A,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013144,3144,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013159,3159,"(34, 50]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013163,3163,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013178,3178,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013182,3182,"[ 0, 18]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,0500200013197,3197,"(18, 34]","[ 0, 20]"
05,Coahuila de Zaragoza,05002,Acuña,050020001320A,320A,"(18, 34]","[ 0, 20]"
